word,phonetic,definition
以外,いがい,以外。例：日曜日以外は忙しい。
以内,いない,以内。例：三日以内に出します。
以上,いじょう,以上；超过。例：十八歳以上。
以下,いか,以下。例：千円以下。
意見,いけん,意见。例：意見を言います。
受付,うけつけ,接待处；受理。例：受付で聞きます。
運転,うんてん,驾驶。例：車を運転します。
会議,かいぎ,会议。例：会議があります。
会場,かいじょう,会场。例：会場に入ります。
経験,けいけん,经验。例：経験があります。
計画,けいかく,计划。例：旅行の計画。
故障,こしょう,故障。例：車が故障しました。
最近,さいきん,最近。例：最近忙しいです。
最後,さいご,最后。例：最後まで読みます。
最初,さいしょ,最初。例：最初に名前を書きます。
準備,じゅんび,准备。例：試験の準備。
紹介,しょうかい,介绍。例：友だちを紹介します。
将来,しょうらい,将来。例：将来医者になりたい。
生活,せいかつ,生活。例：日本の生活。
説明,せつめい,说明。例：使い方を説明します。
相談,そうだん,商量；咨询。例：先生に相談します。
都合,つごう,情况；方便。例：都合がいい。
必要,ひつよう,必要。例：お金が必要です。
普通,ふつう,普通。例：普通の生活。
便利,べんり,方便。例：この町は便利です。
約束,やくそく,约定。例：約束を守ります。
予定,よてい,预定；计划。例：明日の予定。
理由,りゆう,理由。例：理由を説明します。
留守,るす,不在家。例：母は留守です。
連絡,れんらく,联系。例：電話で連絡します。
安心,あんしん,放心。例：安心してください。
危険,きけん,危险。例：危険な場所。
残念,ざんねん,遗憾。例：残念でした。
自由,じゆう,自由。例：自由な時間。
十分,じゅうぶん,充分。例：十分休みました。
